"A1_S5";"A1_S6";"A2_S6";"A2_S7";"A3_S7";"A3_S8";"E1_S8";"E1_S9";"E1_SG_S15";"E2_S10";"E2_S9";"E2_SG_S16";"E3_SG_S17";"TP1a_S_S6";"TP1a_S14";"TP1a_S16";"TP1b_S_S7";"TP1b_S15";"TP1b_S17";"TP1c_S_S10";"TP2a_S_S8";"TP2a_S16";"TP2a_S18";"TP2b_S_S9";"TP2b_S17";"TP2b_S19";"TP2c_S_S11";"W1_S10";"W1_S11";"W1_SG_S12";"W2_S11";"W2_S13";"W2_SG_S13";"W3_SG_S14";"WA3_S12";"WA3_S14";"WE_S13";"WE_S15";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"168";"37";"304";"51";"20876";"29091";"5";"3";"27";"1";"2";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"1";"0";"3";"2";"0";"2";"1";"0";"2";"3";"0";"1";"3";"5";"12";"18";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"6427";"10601";"7";"8";"8";"13";"0";"0";"0";"0";"0";"0";"0";"38";"0";"0";"7";"0";"0";"0";"19";"0";"0";"147";"0";"0";"12";"0";"0";"0";"3";"2";"0";"0";"0";"2";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Thermosynechococcales";"Thermosynechococcaceae";"Synechococcus_IR11";"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Thermosynechococcales";"Thermosynechococcaceae";"Synechococcus_IR11"
"1";"0";"0";"0";"1";"0";"6";"37";"0";"1237";"815";"0";"0";"1970";"36";"57";"2531";"1157";"1770";"2";"120";"21";"91";"1";"0";"0";"1762";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA
"6657";"2308";"1285";"441";"631";"235";"0";"1";"0";"0";"0";"3";"0";"2";"0";"0";"1";"3";"0";"5";"11";"2";"1";"2";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"1";"0";"0";"2";"0";"1";"8";"8";"1";"0";"0";"0";"0";"5227";"6";"6";"16";"87";"131";"0";"4";"3";"2";"3";"0";"0";"4656";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";"Lewinella";"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";"Lewinella"
"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"84";"0";"0";"158";"0";"2";"0";"37";"0";"1";"73";"0";"0";"208";"0";"1";"357";"5";"8";"7758";"3";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Algitalea";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Algitalea"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1234";"1578";"470";"1230";"1617";"474";"888";"0";"0";"472";"603";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"NS5_marine_group";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"NS5_marine_group"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"27";"24";"3017";"10";"16";"3495";"1790";"0";"0";"29";"50";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ia";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ia"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"9";"22";"2575";"14";"17";"3419";"2096";"0";"0";"21";"34";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ia";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ia"
"0";"0";"0";"0";"0";"0";"2";"0";"0";"3431";"2789";"12";"0";"11";"3";"1";"3";"7";"6";"0";"8";"4";"1";"1";"1";"4";"412";"2";"1";"0";"4";"3";"1";"1";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA
